,total_energy_Wh,average_power_W,maxPower,t0_900,t1_900
,73960,10250.07699,11000,33,63
,8670,1321.814255,11000,33,60
,56320,7031.942566,11000,33,66
,44060,4806.254166,11000,33,71
,7040,1363.827154,11000,33,55
,47550,6070.428029,11000,33,65
,21940,2752.439364,11000,33,66
,5440,695.2570293,11000,33,65
,3251,517.1033447,11000,32,59
,49290,5588.259377,11000,32,69
,22720,5053.2559,11000,32,51
,51349,5973.515155,11000,32,68
,15880,1544.288068,11000,32,74
,23131,2374.1689,11000,32,72
,26700,4036.281179,11000,32,59
,21681,3246.603719,11000,32,60
,27520,3066.674921,11000,32,69
,46750,5492.819843,11000,32,67
,8730,1077.260574,11000,32,65
,31700,5514.109007,11000,31,55
,10260,1326.200136,11000,31,63
,6160,587.9576849,11000,31,74
,9190,2109.007458,11000,31,49
,31880,3227.809652,11000,31,71
,8880,896.4666293,11000,30,71
,45550,5314.191269,11000,30,66
,31721,6505.759699,11000,30,51
,6180,676.9923622,11000,30,68
,26430,2775.936515,11000,30,69
,7310,887.854251,11000,30,63
,11680,2544.816317,11000,29,49
,10990,1244.268327,11000,29,65
,35089,3495.790785,11000,29,70
,6660,710.6948067,11000,29,67
,6381,694.0899202,11000,28,66
,23740,3614.005413,11000,28,56
,8960,893.7903516,11000,28,69
,53750,5897.592198,11000,27,65
,61140,6451.635596,11000,26,65
,9980,1159.042519,11000,25,61
,17190,1921.863354,11000,25,62
,56390,5731.500042,11000,25,65
,8470,1070.909282,11000,24,57
,24621,9535.836471,11000,53,65
,20900,10944,11000,51,59
,9240,1826.588326,11000,50,72
,14490,5890.243902,11000,42,53
,22010,4074.039796,11000,39,62
,14030,4611.760409,11000,39,53
,8870,985.2818661,11000,38,75
,9820,1648.726798,11000,38,62
,23100,4364.666982,11000,37,59
,38250,8477.497999,11000,37,56
,37921,4325.589354,11000,37,73
,8500,968.998385,11000,36,72
,6660,963.6268639,11000,36,65
,16319,3594.493392,11000,36,55
,25740,2709.552911,11000,36,75
,19350,2587.571041,11000,35,66
,10890,3017.317017,11000,35,50
,13010,3062.777923,11000,35,53
,41710,7123.487831,11000,35,59
,21250,5259.539361,11000,34,52
,6481,1818.660847,11000,34,50
,8490,991.1148583,11000,34,69
,12559,1667.738842,11000,34,65
,23939,3309.030871,11000,33,63
,6880,788.1622912,11000,33,69
,19540,3890.492782,11000,32,53
,23760,2958.597074,11000,32,65
,25980,3696.320594,11000,32,61
,35020,3694.092827,11000,31,70
,11120,3506.04309,11000,31,45
,26890,5772.795038,11000,31,51
,14280,2470.350793,11000,31,55
,10150,2345.314506,11000,31,49
,6270,755.9276624,11000,30,65
,44690,4358.582575,11000,26,68
,6210,1652.572442,11000,60,76
,30160,6786.848356,11000,56,74
,5920,2124.613698,11000,52,64
,8410,5258.075721,11000,50,58
,20140,6962.166315,11000,50,62
,34870,8258.140912,11000,49,67
,32810,6528.992317,11000,48,69
,6591,3294.127447,11000,47,56
,53661,7230.31664,11000,44,75
,26920,3491.946817,11000,43,75
,8960,2192.04893,11000,43,60
,26970,4418.494585,11000,41,67
,21520,3466.15364,11000,41,67
,39050,7393.888392,11000,40,62
,21460,3706.568152,11000,40,64
,31099,3664.573991,11000,40,75
,43921,5606.339751,11000,39,72
,4730,717.8752108,11000,39,67
,32730,5991.457338,11000,39,62
,57080,8110.514683,11000,39,68
,25090,3095.938303,11000,39,72
,7330,1399.300032,11000,38,60
,42071,6509.17999,11000,38,65
,27970,6079.700519,11000,38,57
,39610,4883.090199,11000,38,71
,9550,1219.365136,11000,37,69
,2930,514.4612983,11000,36,60
,7890,1725.323453,11000,36,55
,6930,984.4526872,11000,36,65
,8840,998.7760098,11000,36,72
,5960,1947.889242,11000,36,49
,6010,562.7926334,11000,36,79
,4020,452.7310267,11000,36,72
,3770,1100.01621,11000,36,50
,17440,2869.600987,11000,36,61
,19110,2329.935313,11000,36,69
,4260,838.3076418,11000,35,57
,22921,4793.238455,11000,35,55
,11260,1507.811338,11000,35,66
,30820,3737.645275,11000,35,69
,50710,6898.016248,11000,35,65
,35250,3535.508316,11000,35,76
,16680,2409.437445,11000,35,63
,33671,4218.102098,11000,34,67
,14929,1624.826919,11000,34,72
,28370,3036.660423,11000,34,73
,19740,2594.334112,11000,34,65
,15010,1978.543444,11000,34,65
,11800,1312.042499,11000,34,71
,7840,1596.651015,11000,34,54
,21220,5086.018642,11000,34,51
,20100,5464.018727,11000,34,49
,22919,2594.766966,11000,34,70
,10090,1039.908388,11000,34,73
,7860,772.1232297,11000,33,75
,31480,5776.735651,11000,33,56
,5691,1611.293748,11000,33,48
,5150,544.461412,11000,33,72
,33130,3858.681937,11000,33,68
,9610,5766,11000,32,40
,20410,2130.912677,11000,32,72
,8840,862.8599317,11000,32,74
,32860,3946.093802,11000,32,66
,7200,1296.259252,11000,32,55
,44910,5972.73634,11000,32,63
,5890,3119.611593,11000,32,40
,31520,4052.716168,11000,31,64
,7979,735.4858533,11000,31,76
,9339,915.5383694,11000,31,72
,25370,3654.741897,11000,31,59
,41300,3957.939571,11000,30,73
,9650,982.8830103,11000,30,71
,43010,5495.70526,11000,30,63
,9800,1089.494163,11000,30,67
,8030,851.4624017,11000,30,69
,23820,2720.385762,11000,30,66
,15460,2030.351671,11000,30,61
,16211,1735.549872,11000,30,68
,25810,4382.416753,11000,29,54
,13080,2558.435208,11000,29,50
,6760,1173.441342,11000,29,53
,42180,4102.00443,11000,29,71
,31200,4012.145026,11000,28,60
,6509,957.518797,11000,28,56
,14420,1623.975474,11000,28,65
,23530,3185.589109,11000,27,58
,19320,3324.506477,11000,27,51
,31060,2746.377168,11000,26,73
,11891,1229.467517,11000,25,65
,7979,3644.303476,11000,54,64
,9810,2605.577689,11000,53,69
,8990,10656.56898,11000,52,56
,53310,9567.575652,11000,47,70
,39769,7495.727749,11000,46,69
,18639,5309.416047,11000,45,60
